GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G1200310","2007-2011","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12031",,,"Duval County, Florida",49964,121829,2513,7150,12932,14735,14854,10929,8086,12454,29871,8305,"Duval County, Florida",579,1950,400,615,752,1079,1009,731,684,930,1394,696
"G1200330","2007-2011","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12033",,,"Escambia County, Florida",43707,36565,910,2003,2998,4302,3937,3596,2343,3404,10244,2828,"Escambia County, Florida",932,1107,254,338,440,541,648,513,370,459,760,425
"G1200350","2007-2011","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12035",,,"Flagler County, Florida",48708,6814,124,400,622,628,587,818,491,706,1835,603,"Flagler County, Florida",2134,635,82,185,193,208,163,237,167,230,290,241
"G1200370","2007-2011","FL",,,"Florida","12","Franklin County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12037",,,"Franklin County, Florida",37017,1571,5,103,151,177,182,168,114,79,468,124,"Franklin County, Florida",2951,327,13,88,95,106,106,87,75,68,167,66
"G1200390","2007-2011","FL",,,"Florida","12","Gadsden County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12039",,,"Gadsden County, Florida",33453,4988,179,157,387,274,207,194,143,366,1238,1843,"Gadsden County, Florida",3169,484,98,86,159,122,111,99,71,147,272,374
"G1200410","2007-2011","FL",,,"Florida","12","Gilchrist County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12041",,,"Gilchrist County, Florida",38467,1129,116,48,27,89,109,120,47,85,311,177,"Gilchrist County, Florida",3891,188,81,46,20,68,84,107,45,63,130,97
"G1200430","2007-2011","FL",,,"Florida","12","Glades County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12043",,,"Glades County, Florida",39611,870,45,91,69,119,74,33,5,115,163,156,"Glades County, Florida",4987,209,40,108,54,82,68,31,9,101,100,115
"G1200450","2007-2011","FL",,,"Florida","12","Gulf County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12045",,,"Gulf County, Florida",41291,1359,32,0,180,207,174,37,100,118,159,352,"Gulf County, Florida",4104,287,40,104,94,142,104,30,105,63,66,159
"G1200470","2007-2011","FL",,,"Florida","12","Hamilton County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12047",,,"Hamilton County, Florida",36683,1193,13,112,147,86,115,92,77,170,194,187,"Hamilton County, Florida",3441,174,20,75,92,57,57,57,56,100,78,80
"G1200490","2007-2011","FL",,,"Florida","12","Hardee County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12049",,,"Hardee County, Florida",38046,2056,88,211,245,159,190,186,79,54,591,253,"Hardee County, Florida",4300,354,72,137,124,92,105,105,82,52,158,111
"G1200510","2007-2011","FL",,,"Florida","12","Hendry County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12051",,,"Hendry County, Florida",37989,3309,149,154,418,440,373,174,146,335,716,404,"Hendry County, Florida",3282,395,124,100,172,195,182,101,108,175,171,142
"G1200530","2007-2011","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12053",,,"Hernando County, Florida",42700,12489,326,766,1301,1202,1165,866,555,1233,3977,1098,"Hernando County, Florida",1096,820,138,229,282,261,251,255,201,250,508,211
"G1200550","2007-2011","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12055",,,"Highlands County, Florida",34913,8243,163,238,643,1104,799,852,367,906,2176,995,"Highlands County, Florida",1010,652,90,109,165,217,225,224,138,211,320,248
"G1200570","2007-2011","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12057",,,"Hillsborough County, Florida",50195,174430,3156,10006,17291,21200,20351,16009,11792,17496,47548,9581,"Hillsborough County, Florida",455,2672,487,836,1124,1170,1209,1035,733,1071,1523,781
