GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G1901950","2015-2019","IA",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19195",,,"Worth County, Iowa",57130,711,78,128,57,117,33,42,7,51,74,124,"Worth County, Iowa",4064,87,29,52,23,40,17,21,11,28,37,43
"G1901970","2015-2019","IA",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19197",,,"Wright County, Iowa",53333,1618,156,240,157,160,79,175,78,131,191,251,"Wright County, Iowa",3030,194,65,96,59,80,38,79,42,65,64,95
"G2000010","2015-2019","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20001",,,"Allen County, Kansas",45333,1571,76,127,137,151,277,83,70,160,304,186,"Allen County, Kansas",4574,206,60,45,62,72,110,43,46,106,102,80
"G2000030","2015-2019","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20003",,,"Anderson County, Kansas",50213,795,82,136,157,43,68,37,30,20,77,145,"Anderson County, Kansas",7491,172,52,73,80,31,57,37,41,28,42,99
"G2000050","2015-2019","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20005",,,"Atchison County, Kansas",50439,1825,118,93,178,359,142,132,63,74,246,420,"Atchison County, Kansas",5066,232,88,62,92,128,58,89,53,78,96,181
"G2000070","2015-2019","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20007",,,"Barber County, Kansas",50174,543,24,70,80,33,49,23,44,23,57,140,"Barber County, Kansas",5636,81,17,31,39,25,33,22,36,20,32,45
"G2000090","2015-2019","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20009",,,"Barton County, Kansas",49723,3160,250,397,364,448,320,333,134,198,464,252,"Barton County, Kansas",2884,322,94,129,94,163,103,124,66,86,134,93
"G2000110","2015-2019","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20011",,,"Bourbon County, Kansas",43917,1612,50,121,215,191,275,74,50,151,284,201,"Bourbon County, Kansas",1671,198,34,62,78,95,112,39,36,86,104,70
"G2000130","2015-2019","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20013",,,"Brown County, Kansas",48333,1153,52,84,215,113,106,97,92,30,185,179,"Brown County, Kansas",2683,113,16,24,70,57,51,37,57,13,59,65
"G2000150","2015-2019","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20015",,,"Butler County, Kansas",64782,6347,321,692,703,749,608,588,391,321,1343,631,"Butler County, Kansas",2220,481,114,198,144,200,170,176,127,121,232,211
