GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AF49E001,AF9FE001,AF9FE002,AF9FE003,AF9FE004,AF9FE005,AF9FE006,AF9FE007,AF9FE008,AF9FE009,AF9FE010,AF9FE011,NAME_M,AF49M001,AF9FM001,AF9FM002,AF9FM003,AF9FM004,AF9FM005,AF9FM006,AF9FM007,AF9FM008,AF9FM009,AF9FM010,AF9FM011
"G3100730","2012-2016","NE",,,"Nebraska","31","Gosper County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31073",,,"Gosper County, Nebraska",60711,246,38,48,25,19,42,18,2,5,3,46,"Gosper County, Nebraska",3286,52,24,25,18,15,26,14,3,7,4,25
"G3100750","2012-2016","NE",,,"Nebraska","31","Grant County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31075",,,"Grant County, Nebraska",45625,61,8,3,4,5,0,1,0,0,3,37,"Grant County, Nebraska",7573,18,9,4,6,5,9,3,9,9,4,13
"G3100770","2012-2016","NE",,,"Nebraska","31","Greeley County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31077",,,"Greeley County, Nebraska",48220,201,16,52,20,15,10,12,0,4,27,45,"Greeley County, Nebraska",2923,47,11,20,10,8,7,9,9,5,15,21
"G3100790","2012-2016","NE",,,"Nebraska","31","Hall County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31079",,,"Hall County, Nebraska",51355,8718,343,1211,1286,922,989,742,403,575,1790,457,"Hall County, Nebraska",1437,434,117,238,252,195,238,201,135,172,290,153
"G3100810","2012-2016","NE",,,"Nebraska","31","Hamilton County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31081",,,"Hamilton County, Nebraska",59760,711,103,85,44,113,53,67,10,14,169,53,"Hamilton County, Nebraska",2918,121,51,42,38,52,30,42,12,11,62,23
"G3100830","2012-2016","NE",,,"Nebraska","31","Harlan County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31083",,,"Harlan County, Nebraska",44630,381,13,53,46,47,14,15,19,12,52,110,"Harlan County, Nebraska",4196,68,10,30,24,28,7,13,19,11,32,47
"G3100850","2012-2016","NE",,,"Nebraska","31","Hayes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31085",,,"Hayes County, Nebraska",44602,149,26,7,5,14,0,7,0,0,17,73,"Hayes County, Nebraska",9686,43,18,10,5,10,9,9,9,9,12,38
"G3100870","2012-2016","NE",,,"Nebraska","31","Hitchcock County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31087",,,"Hitchcock County, Nebraska",41131,320,38,31,21,19,13,14,20,34,40,90,"Hitchcock County, Nebraska",3701,57,24,19,15,13,10,12,19,20,21,27
"G3100890","2012-2016","NE",,,"Nebraska","31","Holt County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31089",,,"Holt County, Nebraska",49607,1197,104,151,147,239,116,41,34,48,136,181,"Holt County, Nebraska",3572,144,41,61,51,89,60,36,27,36,63,58
"G3100910","2012-2016","NE",,,"Nebraska","31","Hooker County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31091",,,"Hooker County, Nebraska",38616,71,10,0,0,0,16,7,3,8,7,20,"Hooker County, Nebraska",2888,30,10,9,9,9,16,12,6,12,11,11
"G3100930","2012-2016","NE",,,"Nebraska","31","Howard County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31093",,,"Howard County, Nebraska",52247,577,18,67,74,64,63,25,15,43,99,109,"Howard County, Nebraska",3225,87,13,29,41,29,31,25,13,28,33,42
"G3100950","2012-2016","NE",,,"Nebraska","31","Jefferson County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31095",,,"Jefferson County, Nebraska",44616,804,39,95,164,96,62,52,54,57,60,125,"Jefferson County, Nebraska",3122,125,22,40,85,42,31,35,41,34,30,37
"G3100970","2012-2016","NE",,,"Nebraska","31","Johnson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31097",,,"Johnson County, Nebraska",47938,490,60,63,80,27,48,48,11,26,95,32,"Johnson County, Nebraska",4852,87,27,31,41,16,26,32,12,29,39,16
"G3100990","2012-2016","NE",,,"Nebraska","31","Kearney County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31099",,,"Kearney County, Nebraska",55068,846,62,88,126,87,115,46,14,59,113,136,"Kearney County, Nebraska",4014,128,49,47,50,48,54,28,16,43,53,66
"G3101010","2012-2016","NE",,,"Nebraska","31","Keith County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31101",,,"Keith County, Nebraska",43100,1342,23,135,222,105,303,104,33,68,159,190,"Keith County, Nebraska",4230,135,17,57,73,52,96,59,24,50,66,68
"G3101030","2012-2016","NE",,,"Nebraska","31","Keya Paha County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31103",,,"Keya Paha County, Nebraska",43333,100,21,11,2,5,1,4,5,0,4,47,"Keya Paha County, Nebraska",9547,40,16,10,3,6,2,9,6,9,5,33
"G3101050","2012-2016","NE",,,"Nebraska","31","Kimball County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31105",,,"Kimball County, Nebraska",40344,517,35,72,94,55,36,23,56,24,64,58,"Kimball County, Nebraska",3177,82,31,36,43,28,20,16,39,24,33,27
"G3101070","2012-2016","NE",,,"Nebraska","31","Knox County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31107",,,"Knox County, Nebraska",47692,933,138,109,113,63,72,58,66,22,92,200,"Knox County, Nebraska",3184,108,37,40,33,25,25,20,44,11,35,52
"G3101090","2012-2016","NE",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31109",,,"Lancaster County, Nebraska",53730,48632,1811,4544,6069,6540,4559,4183,3438,4052,11374,2062,"Lancaster County, Nebraska",882,845,217,446,528,478,469,443,423,429,687,342
"G3101110","2012-2016","NE",,,"Nebraska","31","Lincoln County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US31111",,,"Lincoln County, Nebraska",52179,5149,392,801,730,489,642,420,123,368,727,457,"Lincoln County, Nebraska",2197,375,151,216,222,154,188,164,86,133,201,147
