GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G1800350","2013-2017","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18035",,,"Delaware County, Indiana",41208,16572,824,1369,1758,1366,1339,1018,949,1399,4885,1665,"Delaware County, Indiana",1503,703,234,266,330,244,224,196,203,267,432,299
"G1800370","2013-2017","IN",,,"Indiana","18","Dubois County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18037",,,"Dubois County, Indiana",57307,3805,155,491,564,487,413,382,135,348,564,266,"Dubois County, Indiana",3230,341,77,175,203,174,153,158,104,169,192,109
"G1800390","2013-2017","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18039",,,"Elkhart County, Indiana",52449,22493,1173,2588,3360,2468,2261,1588,1380,1533,4387,1755,"Elkhart County, Indiana",1232,886,311,388,369,411,319,342,263,264,489,314
"G1800410","2013-2017","IN",,,"Indiana","18","Fayette County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18041",,,"Fayette County, Indiana",41476,2937,173,217,462,169,188,321,294,182,666,265,"Fayette County, Indiana",2097,248,77,96,108,79,74,114,102,72,138,96
"G1800430","2013-2017","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18043",,,"Floyd County, Indiana",59451,8053,482,563,1034,1016,831,602,385,734,1617,789,"Floyd County, Indiana",1921,405,146,135,240,222,188,175,134,165,225,170
"G1800450","2013-2017","IN",,,"Indiana","18","Fountain County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18045",,,"Fountain County, Indiana",46669,1814,135,220,259,123,166,191,70,104,250,296,"Fountain County, Indiana",2741,167,70,78,82,63,57,63,37,49,73,85
"G1800470","2013-2017","IN",,,"Indiana","18","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18047",,,"Franklin County, Indiana",55588,1744,68,157,240,251,249,264,97,78,158,182,"Franklin County, Indiana",2557,244,54,75,104,134,111,127,39,38,62,75
"G1800490","2013-2017","IN",,,"Indiana","18","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18049",,,"Fulton County, Indiana",47108,1793,105,205,170,184,169,195,107,188,244,226,"Fulton County, Indiana",3650,271,60,128,75,94,89,120,68,104,112,69
"G1800510","2013-2017","IN",,,"Indiana","18","Gibson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18051",,,"Gibson County, Indiana",51149,3024,172,415,519,239,308,247,186,150,477,311,"Gibson County, Indiana",1981,278,76,107,157,90,115,86,83,60,123,113
"G1800530","2013-2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18053",,,"Grant County, Indiana",42046,8264,408,831,920,807,941,767,519,571,1841,659,"Grant County, Indiana",1728,546,159,191,199,186,182,238,158,182,282,158
"G1800550","2013-2017","IN",,,"Indiana","18","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18055",,,"Greene County, Indiana",49648,2567,136,268,376,225,353,217,116,180,312,384,"Greene County, Indiana",1966,233,53,97,116,81,118,72,58,70,83,116
"G1800570","2013-2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18057",,,"Hamilton County, Indiana",90582,25098,1355,2929,3877,3439,2655,2267,1401,1685,4371,1119,"Hamilton County, Indiana",1988,1077,321,457,474,436,397,356,302,317,547,288
